"politician_id","riding_id","shortname","Parl","electedhist_id","party_id","end_date","start_date","partyname","partyabb","ridingname_en","province","riding_short","riding_current","member_id","Year","Date","hon_minstatus","hon_gender.y","name","name_given","name_family","dob"
2,70171,"diane-ablonczy",35,3052,28,"1997-04-27","1994-01-17","Reform Party","Reform","Calgary North","AB","calgary-north","f",3052,1994,"1994-01-20",FALSE,"F","Diane Ablonczy","Diane","Ablonczy","1949-05-06"
5,35055,"dean-allison",38,1397,1,"2015-10-19","2004-10-04","Conservative","CPC","Niagara West--Glanbrook","ON","niagara-west-glanbrook","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,70337,"dean-allison",41,4286,1,NA,"2015-10-19","Conservative","CPC","Niagara West","ON","niagara-west","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,48017,"rona-ambrose",38,1250,1,"2015-10-19","2004-10-04","Conservative","CPC","Edmonton--Spruce Grove","AB","edmonton-spruce-grove","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,70340,"rona-ambrose",41,4396,1,"2017-07-04","2015-10-19","Conservative","CPC","Sturgeon River--Parkland","AB","sturgeon-river-parkland","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,48009,"rob-anders",36,2453,28,"2000-10-22","1997-09-22","Reform Party","Reform","Calgary West","AB","calgary-west","f",2453,1997,"1997-09-26",FALSE,"M","Rob Anders","Rob","Anders","1972-04-01"
7,48009,"rob-anders",37,1550,25,"2004-05-23","2001-01-29","Canadian Alliance","Alliance","Calgary West","AB","calgary-west","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,48009,"rob-anders",38,1242,1,"2011-03-26","2004-10-04","Conservative","CPC","Calgary West","AB","calgary-west","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,48009,"rob-anders",40,4121,1,"2015-10-19","2011-05-02","Conservative","CPC","Calgary West","AB","calgary-west","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,47004,"david-anderson",38,1531,1,"2019-10-21","2004-10-04","Conservative","CPC","Cypress Hills--Grasslands","SK","cypress-hills-grasslands","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,47004,"david-anderson",37,1833,25,"2004-05-23","2001-01-29","Canadian Alliance","Alliance","Cypress Hills--Grasslands","SK","cypress-hills-grasslands","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,24008,"guy-andré",38,1460,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Berthier--Maskinongé","QC","berthier-maskinonge","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
11,35092,"charlie-angus",38,1434,2,NA,"2004-10-04","NDP","NDP","Timmins--James Bay","ON","timmins-james-bay","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,24039,"gerard-asselin",38,1491,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Manicouagan","QC","manicouagan","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
12,70119,"gerard-asselin",35,3270,3,"2004-05-23","1994-01-17","Bloc Québécois","Bloc","Charlevoix","QC","charlevoix","f",3270,1994,"1994-01-26",FALSE,"M","Gérard Asselin","Gérard","Asselin","1950-04-19"
14,24064,"claude-bachand",35,3317,3,"2011-03-26","1994-01-17","Bloc Québécois","Bloc","Saint-Jean","QC","saint-jean","t",3317,1994,"1994-01-21",FALSE,"M","Claude Bachand","Claude","Bachand","1951-01-03"
15,60001,"larry-bagnell",41,4213,4,"2021-09-20","2015-10-19","Liberal","Liberal","Yukon","YT","yukon","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
15,60001,"larry-bagnell",37,1844,4,"2011-03-26","2001-01-29","Liberal","Liberal","Yukon","YT","yukon","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,35047,"navdeep-bains",38,1391,4,"2011-03-26","2004-10-04","Liberal","Liberal","Mississauga--Brampton South","ON","mississauga-brampton-south","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
16,70333,"navdeep-bains",41,4218,4,"2021-09-20","2015-10-19","Liberal","Liberal","Mississauga--Malton","ON","mississauga-malton","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
18,35044,"sue-barnes",35,3194,4,"2008-09-07","1994-01-17","Liberal","Liberal","London West","ON","london-west","t",3194,1994,"1994-01-24",FALSE,"F","Sue Barnes","Sue","Barnes","1952-09-08"
19,47005,"dave-batters",38,1532,1,"2008-09-07","2004-10-04","Conservative","CPC","Palliser","SK","palliser","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,35008,"colleen-beaumier",38,1349,4,"2008-09-07","2004-10-04","Liberal","Liberal","Brampton West","ON","brampton-west","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,70077,"colleen-beaumier",36,2556,4,"2004-05-23","1997-09-22","Liberal","Liberal","Brampton West--Mississauga","ON","brampton-west-mississauga","f",2556,1998,"1998-09-21",FALSE,"F","Colleen Beaumier","Colleen","Beaumier","1944-11-08"
20,70205,"colleen-beaumier",35,3154,4,"1997-04-27","1994-01-17","Liberal","Liberal","Brampton","ON","brampton","f",3154,1994,"1994-03-10",FALSE,"F","Colleen Beaumier","Colleen","Beaumier","1944-11-08"
21,35065,"mauril-belanger",35,3687,4,"2016-08-16","1994-01-17","Liberal","Liberal","Ottawa--Vanier","ON","ottawa-vanier","t",3687,1995,"1995-03-27",FALSE,"M","Mauril Bélanger","Mauril","Bélanger","1955-06-15"
22,59019,"dean-allison",38,1281,4,"2008-09-07","2004-10-04","Liberal","Liberal","North Vancouver","BC","north-vancouver","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,24055,"andré-bellavance",38,1507,3,"2014-08-25","2004-10-04","Bloc Québécois","Bloc","Richmond--Arthabaska","QC","richmond-arthabaska","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
23,24055,"rona-ambrose",41,4174,5,"2015-10-19","2014-08-26","Independent","Independent","Richmond--Arthabaska","QC","richmond-arthabaska","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,35077,"carolyn-bennett",36,2631,4,"2015-10-19","1997-09-22","Liberal","Liberal","St. Paul's","ON","st-paul-s","f",2631,1997,"1997-09-26",FALSE,"F","Carolyn Bennett","Carolyn","Bennett","1950-12-20"
24,35077,"carolyn-bennett",36,2631,4,"2015-10-19","1997-09-22","Liberal","Liberal","St. Paul's","ON","st-paul-s","f",2631,1998,"1998-09-23",FALSE,"F","Carolyn Bennett","Carolyn","Bennett","1950-12-20"
24,70380,"carolyn-bennett",41,4324,4,NA,"2015-10-19","Liberal","Liberal","Toronto--St. Paul's","ON","toronto-st-paul-s","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,48024,"leon-benoit",38,1258,1,"2015-10-19","2004-10-04","Conservative","CPC","Vegreville--Wainwright","AB","vegreville-wainwright","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,70043,"leon-benoit",36,2463,28,"2000-10-22","1997-09-22","Reform Party","Reform","Lakeland","AB","lakeland","t",2463,1997,"1997-09-25",FALSE,"M","Leon Benoit","Leon","Benoit","1950-07-07"
25,70043,"leon-benoit",37,1560,25,"2004-05-23","2001-01-29","Canadian Alliance","Alliance","Lakeland","AB","lakeland","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
25,70173,"leon-benoit",35,3071,28,"1997-04-27","1994-01-17","Reform Party","Reform","Vegreville","AB","vegreville","f",3071,1994,"1994-01-24",FALSE,"M","Leon Benoit","Leon","Benoit","1950-07-07"
25,70173,"leon-benoit",35,3071,28,"1997-04-27","1994-01-17","Reform Party","Reform","Vegreville","AB","vegreville","f",3052,1997,"1997-03-11",FALSE,"M","Leon Benoit","Leon","Benoit","1950-07-07"
25,70173,"leon-benoit",35,3071,28,"1997-04-27","1994-01-17","Reform Party","Reform","Vegreville","AB","vegreville","f",3286,1994,"1994-12-12",FALSE,"M","Leon Benoit","Leon","Benoit","1950-07-07"
27,35096,"maurizio-bevilacqua",38,1438,4,"2010-09-02","2004-10-04","Liberal","Liberal","Vaughan","ON","vaughan","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
27,70104,"maurizio-bevilacqua",36,2642,4,"2004-05-23","1997-09-22","Liberal","Liberal","Vaughan--King--Aurora","ON","vaughan-king-aurora","f",2642,1997,"1997-09-26",FALSE,"M","Maurizio Bevilacqua","Maurizio","Bevilacqua","1960-06-01"
27,70108,"maurizio-bevilacqua",35,3246,4,"1997-04-27","1994-01-17","Liberal","Liberal","York North","ON","york-north","f",3246,1994,"1994-01-31",FALSE,"M","Maurizio Bevilacqua","Maurizio","Bevilacqua","1960-06-01"
28,46010,"james-bezan",38,1308,1,"2015-10-19","2004-10-04","Conservative","CPC","Selkirk--Interlake","MB","selkirk-interlake","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,46010,"james-bezan",38,1308,1,"2015-10-19","2004-10-04","Conservative","CPC","Selkirk--Interlake","MB","selkirk-interlake","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,70279,"james-bezan",41,4235,1,NA,"2015-10-19","Conservative","CPC","Selkirk--Interlake--Eastman","MB","selkirk-interlake-eastman","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,70279,"james-bezan",41,4235,1,NA,"2015-10-19","Conservative","CPC","Selkirk--Interlake--Eastman","MB","selkirk-interlake-eastman","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,24061,"bernard-bigras",38,1513,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Rosemont--La Petite-Patrie","QC","rosemont-la-petite-patrie","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,70137,"bernard-bigras",37,1813,3,"2004-05-23","2001-01-29","Bloc Québécois","Bloc","Rosemont--Petite-Patrie","QC","rosemont-petite-patrie","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
29,70164,"bernard-bigras",36,2715,3,"2000-10-22","1997-09-22","Bloc Québécois","Bloc","Rosemont","QC","rosemont","f",2715,1998,"1998-10-01",FALSE,"M","Bernard Bigras","Bernard","Bigras","1969-06-04"
30,46005,"bill-blaikie",38,1303,2,"2008-09-07","2004-10-04","NDP","NDP","Elmwood--Transcona","MB","elmwood-transcona","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
30,70060,"bill-blaikie",35,3119,2,"2004-05-23","1994-01-17","NDP","NDP","Winnipeg--Transcona","MB","winnipeg-transcona","f",3119,1994,"1994-02-01",FALSE,"M","Bill Blaikie","Bill","Blaikie","1951-06-19"
31,24019,"raynald-blais",38,1471,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Gaspésie--Îles-de-la-Madeleine","QC","gaspesie-iles-de-la-madeleine","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35056,"raymond-bonin",35,3202,4,"2000-10-22","1994-01-17","Liberal","Liberal","Nickel Belt","ON","nickel-belt","t",3202,1994,"1994-05-25",FALSE,"M","Raymond Bonin","Raymond","Bonin","1942-11-20"
35,35056,"raymond-bonin",37,1700,4,"2008-09-07","2001-01-29","Liberal","Liberal","Nickel Belt","ON","nickel-belt","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,24017,"france-bonsant",38,1469,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Compton--Stanstead","QC","compton-stanstead","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
37,35090,"ken-boshcoff",38,1432,4,"2008-09-07","2004-10-04","Liberal","Liberal","Thunder Bay--Rainy River","ON","thunder-bay-rainy-river","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
38,24016,"david-anderson",38,1468,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Chicoutimi--Le Fjord","QC","chicoutimi-le-fjord","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
41,24071,"david-anderson",37,1824,3,"2011-03-26","2001-01-29","Bloc Québécois","Bloc","Terrebonne--Blainville","QC","terrebonne-blainville","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
43,47014,"garry-breitkreuz",35,3342,28,"2000-10-22","1994-01-17","Reform Party","Reform","Yorkton--Melville","SK","yorkton-melville","t",3342,1994,"1994-01-27",FALSE,"M","Garry Breitkreuz","Garry","Breitkreuz","1945-10-21"
43,47014,"garry-breitkreuz",35,3342,28,"2000-10-22","1994-01-17","Reform Party","Reform","Yorkton--Melville","SK","yorkton-melville","t",3316,1995,"1995-06-06",FALSE,"M","Garry Breitkreuz","Garry","Breitkreuz","1945-10-21"
43,47014,"garry-breitkreuz",37,1843,25,"2004-05-23","2001-01-29","Canadian Alliance","Alliance","Yorkton--Melville","SK","yorkton-melville","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
43,47014,"garry-breitkreuz",38,1541,1,"2015-10-19","2004-10-04","Conservative","CPC","Yorkton--Melville","SK","yorkton-melville","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
44,12006,"scott-brison",36,2545,26,"2003-12-10","1997-09-22","Progressive Conservative","PC","Kings--Hants","NS","kings-hants","t",2545,1997,"1997-09-25",FALSE,"M","Scott Brison","Scott","Brison","1967-05-10"
44,12006,"scott-brison",37,1336,4,"2019-02-10","2003-12-11","Liberal","Liberal","Kings--Hants","NS","kings-hants","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,35041,"guy-andré",38,1383,1,"2015-10-19","2004-10-04","Conservative","CPC","Leeds--Grenville","ON","leeds-grenville","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
46,70307,"guy-andré",41,4259,1,"2018-05-02","2015-10-19","Conservative","CPC","Leeds--Grenville--Thousand Islands and Rideau Lakes","ON","leeds-grenville-thousand-islands-and-rideau-lakes","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
47,35060,"bonnie-brown",36,2607,4,"2008-09-07","1997-09-22","Liberal","Liberal","Oakville","ON","oakville","t",2607,1997,"1997-09-25",FALSE,"F","Bonnie Brown","Bonnie","Brown","1960-08-31"
47,70222,"bonnie-brown",35,3205,4,"1997-04-27","1994-01-17","Liberal","Liberal","Oakville--Milton","ON","oakville-milton","f",3205,1994,"1994-01-26",FALSE,"F","Bonnie Brown","Bonnie","Brown","1960-08-31"
48,24072,"paule-brunelle",38,1524,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Trois-Rivières","QC","trois-rivieres","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,10003,"gerry-byrne",35,3681,4,"2015-10-19","1996-02-27","Liberal","Liberal","Humber--St. Barbe--Baie Verte","NL","humber-st-barbe-baie-verte","f",3681,1996,"1996-05-28",FALSE,"M","Gerry Byrne","Gerry","Byrne","1966-09-27"
52,35081,"john-cannis",35,3222,4,"2011-03-26","1994-01-17","Liberal","Liberal","Scarborough Centre","ON","scarborough-centre","t",3222,1994,"1994-03-07",FALSE,"M","John Cannis","John","Cannis","1951-11-04"
53,24070,"serge-cardin",36,3677,3,"2011-03-26","1997-09-22","Bloc Québécois","Bloc","Sherbrooke","QC","sherbrooke","t",3677,1998,"1998-09-28",FALSE,"M","Serge Cardin","Serge","Cardin","1950-07-02"
55,35061,"colin-carrie",38,1403,1,NA,"2004-10-04","Conservative","CPC","Oshawa","ON","oshawa","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
56,24003,"robert-carrier",38,1455,3,"2011-03-26","2004-10-04","Bloc Québécois","Bloc","Alfred-Pellan","QC","alfred-pellan","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
58,12007,"bill-casey",39,4029,1,"2007-06-05","2006-04-03","Conservative","CPC","Cumberland--Colchester--Musquodoboit Valley","NS","cumberland-colchester-musquodoboit-valley","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
58,12007,"bill-casey",39,368,5,"2009-11-09","2007-06-06","Independent","Independent","Cumberland--Colchester--Musquodoboit Valley","NS","cumberland-colchester-musquodoboit-valley","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
58,70018,"bill-casey",38,1337,1,"2005-11-29","2004-10-04","Conservative","CPC","North Nova","NS","north-nova","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
58,70067,"bill-casey",36,2541,26,"2004-05-23","1997-09-22","Progressive Conservative","PC","Cumberland--Colchester","NS","cumberland-colchester","t",2541,1997,"1997-09-26",FALSE,"M","Bill Casey","Bill","Casey","1945-02-19"
58,70067,"bill-casey",41,4406,4,"2019-10-21","2015-10-19","Liberal","Liberal","Cumberland--Colchester","NS","cumberland-colchester","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
59,48019,"rick-casson",36,2464,28,"2000-10-22","1997-09-22","Reform Party","Reform","Lethbridge","AB","lethbridge","t",2464,1998,"1998-05-11",FALSE,"M","Rick Casson","Rick","Casson","1948-12-30"
59,48019,"rick-casson",37,1561,25,"2004-05-23","2001-01-29","Canadian Alliance","Alliance","Lethbridge","AB","lethbridge","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
59,48019,"rick-casson",38,1253,1,"2011-03-26","2004-10-04","Conservative","CPC","Lethbridge","AB","lethbridge","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
61,35027,"brenda-chamberlain",38,1369,4,"2008-09-07","2004-10-04","Liberal","Liberal","Guelph","ON","guelph","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
61,70080,"brenda-chamberlain",35,3176,4,"2004-05-23","1994-01-17","Liberal","Liberal","Guelph--Wellington","ON","guelph-wellington","f",3064,1994,"1994-12-13",FALSE,"F","Brenda Chamberlain","Brenda","Chamberlain","1952-04-09"
61,70080,"brenda-chamberlain",35,3176,4,"2004-05-23","1994-01-17","Liberal","Liberal","Guelph--Wellington","ON","guelph-wellington","f",3176,1994,"1994-02-09",FALSE,"F","Brenda Chamberlain","Brenda","Chamberlain","1952-04-09"
62,59023,"raymond-chan",35,3097,4,"2000-10-22","1994-01-17","Liberal","Liberal","Richmond","BC","richmond","f",3097,1994,"1994-01-31",TRUE,"M","Raymond Chan","Raymond","Chan","1951-10-25"
62,59023,"raymond-chan",35,3097,4,"2000-10-22","1994-01-17","Liberal","Liberal","Richmond","BC","richmond","f",3097,1994,"1994-01-31",FALSE,"M","Raymond Chan","Raymond","Chan","1951-10-25"
62,59023,"raymond-chan",38,1285,4,"2008-09-07","2004-10-04","Liberal","Liberal","Richmond","BC","richmond","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
64,35098,"larry-bagnell",38,1440,1,NA,"2004-10-04","Conservative","CPC","Wellington--Halton Hills","ON","wellington-halton-hills","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
65,35031,"larry-bagnell",38,1373,2,"2019-10-21","2004-10-04","NDP","NDP","Hamilton Centre","ON","hamilton-centre","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
68,24009,"denis-coderre",36,2668,4,"2013-06-03","1997-09-22","Liberal","Liberal","Bourassa","QC","bourassa","t",2668,1997,"1997-09-24",FALSE,"M","Denis Coderre","Denis","Coderre","1963-07-25"
68,24009,"denis-coderre",36,2668,4,"2013-06-03","1997-09-22","Liberal","Liberal","Bourassa","QC","bourassa","t",2668,1999,"1999-11-01",TRUE,"M","Denis Coderre","Denis","Coderre","1963-07-25"
69,35101,"navdeep-bains",38,1444,2,"2015-10-19","2004-10-04","NDP","NDP","Windsor--Tecumseh","ON","windsor-tecumseh","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
69,70107,"navdeep-bains",37,1746,2,"2004-05-23","2001-01-29","NDP","NDP","Windsor--St. Clair","ON","windsor-st-clair","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
70,35091,"joe-comuzzi",37,1735,4,"2007-10-15","2001-01-29","Liberal","Liberal","Thunder Bay--Superior North","ON","thunder-bay-superior-north","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
70,35091,"joe-comuzzi",39,690,1,"2008-09-07","2007-10-16","Conservative","CPC","Thunder Bay--Superior North","ON","thunder-bay-superior-north","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
70,70153,"joe-comuzzi",35,3234,4,"2000-10-22","1994-01-17","Liberal","Liberal","Thunder Bay--Nipigon","ON","thunder-bay-nipigon","f",3234,1994,"1994-01-19",FALSE,"M","Joe Comuzzi","Joe","Comuzzi","1933-04-05"
72,24044,"irwin-cotler",36,3673,4,"2015-10-19","1999-10-12","Liberal","Liberal","Mount Royal","QC","mount-royal","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
73,24058,"paul-crete",39,381,3,"2009-11-09","2006-04-03","Bloc Québécois","Bloc","Montmagny--L'Islet--Kamouraska--Rivière-du-Loup","QC","montmagny-l-islet-kamouraska-riviere-du-loup","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
73,70034,"paul-crete",38,1510,3,"2005-11-29","2004-10-04","Bloc Québécois","Bloc","Rivière-Du-Loup--Montmagny","QC","riviere-du-loup-montmagny","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
73,70124,"paul-crete",36,2685,3,"2004-05-23","1997-09-22","Bloc Québécois","Bloc","Kamouraska--Rivière-Du-Loup--Témiscouata--Les Basques","QC","kamouraska-riviere-du-loup-temiscouata-les-basques","f",2685,1997,"1997-09-24",FALSE,"M","Paul Crête","Paul","Crête","1953-04-08"
73,70240,"paul-crete",35,3281,3,"1997-04-27","1994-01-17","Bloc Québécois","Bloc","Kamouraska--Rivière-Du-Loup","QC","kamouraska-riviere-du-loup","f",3091,1996,"1996-05-30",FALSE,"M","Paul Crête","Paul","Crête","1953-04-08"
73,70240,"paul-crete",35,3281,3,"1997-04-27","1994-01-17","Bloc Québécois","Bloc","Kamouraska--Rivière-Du-Loup","QC","kamouraska-riviere-du-loup","f",3281,1994,"1994-01-31",FALSE,"M","Paul Crête","Paul","Crête","1953-04-08"
73,70240,"paul-crete",35,3281,3,"1997-04-27","1994-01-17","Bloc Québécois","Bloc","Kamouraska--Rivière-Du-Loup","QC","kamouraska-riviere-du-loup","f",3297,1996,"1996-05-28",FALSE,"M","Paul Crête","Paul","Crête","1953-04-08"
73,70240,"paul-crete",35,3281,3,"1997-04-27","1994-01-17","Bloc Québécois","Bloc","Kamouraska--Rivière-Du-Loup","QC","kamouraska-riviere-du-loup","f",3281,1994,"1994-01-25",FALSE,"M","Paul Crête","Paul","Crête","1953-04-08"
74,59015,"dave-batters",38,1277,2,"2015-10-19","2004-10-04","NDP","NDP","Nanaimo--Cowichan","BC","nanaimo-cowichan","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
75,59025,"nathan-cullen",38,1287,2,"2019-10-21","2004-10-04","NDP","NDP","Skeena--Bulkley Valley","BC","skeena-bulkley-valley","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
76,35024,"roy-cullen",35,3683,4,"2008-09-07","1996-02-27","Liberal","Liberal","Etobicoke North","ON","etobicoke-north","t",3683,1996,"1996-04-25",FALSE,"M","Roy Cullen","Roy","Cullen","1944-12-31"
76,35024,"roy-cullen",35,3683,4,"2008-09-07","1996-02-27","Liberal","Liberal","Etobicoke North","ON","etobicoke-north","t",3181,1997,"1997-02-13",FALSE,"M","Roy Cullen","Roy","Cullen","1944-12-31"
77,59006,"john-cummins",38,1268,1,"2011-03-26","2004-10-04","Conservative","CPC","Delta--Richmond East","BC","delta-richmond-east","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
77,70046,"john-cummins",36,2475,28,"2000-10-22","1997-09-22","Reform Party","Reform","Delta--South Richmond","BC","delta-south-richmond","f",2475,1998,"1998-05-28",FALSE,"M","John Cummins","John","Cummins","1942-03-12"
77,70177,"john-cummins",35,3079,28,"1997-04-27","1994-01-17","Reform Party","Reform","Delta","BC","delta","t",3079,1994,"1994-01-27",FALSE,"M","John Cummins","John","Cummins","1942-03-12"
77,70177,"john-cummins",35,3079,28,"1997-04-27","1994-01-17","Reform Party","Reform","Delta","BC","delta","t",3090,1996,"1996-11-28",FALSE,"M","John Cummins","John","Cummins","1942-03-12"
77,70177,"john-cummins",35,3079,28,"1997-04-27","1994-01-17","Reform Party","Reform","Delta","BC","delta","t",3049,1994,"1994-06-21",FALSE,"M","John Cummins","John","Cummins","1942-03-12"
78,70066,"rodger-cuzner",37,1636,4,"2004-05-23","2001-01-29","Liberal","Liberal","Bras D'Or--Cape Breton","NS","bras-d-or-cape-breton","f",NA,NA,NA,NA,NA,NA,NA,NA,NA
78,12001,"rodger-cuzner",38,1331,4,"2019-10-21","2004-10-04","Liberal","Liberal","Cape Breton--Canso","NS","cape-breton-canso","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
79,13005,"jean-claude-d'amours",38,1317,4,"2011-03-26","2004-10-04","Liberal","Liberal","Madawaska--Restigouche","NB","madawaska-restigouche","t",NA,NA,NA,NA,NA,NA,NA,NA,NA
80,59030,"libby-davies",36,2499,2,"2015-10-19","1997-09-22","NDP","NDP","Vancouver East","BC","vancouver-east","t",2499,1998,"1998-03-31",FALSE,"F","Libby Davies","Libby","Davies","1953-02-27"
